place_loc,place_name
"{'lat': -7.288522, 'lng': 112.79902}",Kos Mahasiswa ITS
"{'lat': -7.288522, 'lng': 112.79902}",Kos Oyi Dan Bekam
"{'lat': -7.288412600000001, 'lng': 112.7993255}",Toko Ibu
"{'lat': -7.288499099999999, 'lng': 112.7992702}",Warkop pitulikur
"{'lat': -7.288558000000001, 'lng': 112.799387}",Coffe Shop Andik
"{'lat': -7.288558000000001, 'lng': 112.799387}",Warung Khas Trenggalek
"{'lat': -7.288526999999999, 'lng': 112.7994847}",Warkop Konco Lawas
"{'lat': -7.2886338, 'lng': 112.7992839}",Warung Mbak Sieh
"{'lat': -7.288636299999999, 'lng': 112.7993437}",Mbak Khol's Foodstall
"{'lat': -7.288736999999998, 'lng': 112.799723}",Baitul Muttaqin Mosque
"{'lat': -7.288612, 'lng': 112.799761}",Panti Asuhan Muhammadiyah KH. AR. FAKHRUDDIN
"{'lat': -7.288612, 'lng': 112.799761}",Taman Kanak Kanak Aisyiyah Bustanul Athfal 52
"{'lat': -7.2890025, 'lng': 112.7995997}",(CAS) Cangkrukan Arek Suroboyo
"{'lat': -7.289035900000001, 'lng': 112.7995702}",Rizky loundry
"{'lat': -7.288932000000001, 'lng': 112.7997058}",Cuci Milk
"{'lat': -7.288932000000001, 'lng': 112.7997058}",Limolas Laundry
"{'lat': -7.288973499999999, 'lng': 112.7996748}",Kost Limolas
"{'lat': -7.288882, 'lng': 112.800232}",Sakinah cell 2
"{'lat': -7.2891535, 'lng': 112.8003334}",Jeffry Lantai Vinyl Surabaya Jasa Pasang Vinil
"{'lat': -7.289248699999999, 'lng': 112.8003176}",Fastbreak Indonesia
"{'lat': -7.289173899999999, 'lng': 112.8003599}",Jeffry Wallpaper Surabaya Jasa Pasang
"{'lat': -7.289021, 'lng': 112.800446}",Service Motor Wawa
"{'lat': -7.289667400000001, 'lng': 112.8001801}",Apotek K24 Keputih
"{'lat': -7.2889547, 'lng': 112.7997074}",Limolad Laundry (Libels)
"{'lat': -7.2889517, 'lng': 112.7997908}",Kedai Kopi Sang Surya
"{'lat': -7.289067999999999, 'lng': 112.799841}",Elite Tailor
"{'lat': -7.289067999999999, 'lng': 112.799841}",Pangkas Rambut Elite
"{'lat': -7.2892109, 'lng': 112.7997188}",PT. SUTO ITEC INDONESIA
"{'lat': -7.289091999999999, 'lng': 112.799459}",Fadhil Laundry
"{'lat': -7.28924, 'lng': 112.799645}",Libels Laundry
"{'lat': -7.289839, 'lng': 112.7994224}",Warung Pangsit Mie Ayam Jakarta
"{'lat': -7.289910799999999, 'lng': 112.7994579}",Keputih Traditional Market
"{'lat': -7.289773999999999, 'lng': 112.799073}",Qoni Modes & Konveksi
"{'lat': -7.289767200000001, 'lng': 112.7990358}",Penjahit Bu Nanik
"{'lat': -7.289266599999999, 'lng': 112.7996382}",Pijat Refleksi Cak Man
"{'lat': -7.2892643, 'lng': 112.7996943}",Warung Yochi
"{'lat': -7.2893032, 'lng': 112.7995598}",Geprek CK Stall
"{'lat': -7.289305, 'lng': 112.799545}",Warung geprek CK
"{'lat': -7.289242000000001, 'lng': 112.799787}",Sari Rasa
"{'lat': -7.2892486, 'lng': 112.7994566}",PT. Pemuda Keputih
"{'lat': -7.2893146, 'lng': 112.7994216}",Rara Sumalia
"{'lat': -7.2900769, 'lng': 112.799213}",La Tahzan
"{'lat': -7.290049, 'lng': 112.798923}",Penyetan Cita Rasa
"{'lat': -7.290050999999998, 'lng': 112.798914}",Bios Print
"{'lat': -7.290030000000001, 'lng': 112.798866}",D'Nafa Barbershop
"{'lat': -7.289229000000002, 'lng': 112.799395}",Markas
"{'lat': -7.289396399999999, 'lng': 112.7994331}",Warung Nasi Kuning Ummik
"{'lat': -7.289483199999999, 'lng': 112.7994901}",Fadhila Stall
"{'lat': -7.289211499999998, 'lng': 112.7992172}",Mushollah Baiturrohman 1
"{'lat': -7.289164899999999, 'lng': 112.799241}",Masjid Baitur Rohman
"{'lat': -7.2892128, 'lng': 112.7984843}",Durios - Pancake Durian
"{'lat': -7.289142000000001, 'lng': 112.7991186}",Service Printer dan jual beli di surabaya (panggilan)
"{'lat': -7.288999199999997, 'lng': 112.7989865}",Jeruk Loundry
"{'lat': -7.289440600000001, 'lng': 112.7989969}",Kost Oren Keputih
"{'lat': -7.290023199999999, 'lng': 112.7984714}",Al-Amin Photo Copy
"{'lat': -7.289852400000001, 'lng': 112.798682}",Depo Air Minum Biru Keputih
"{'lat': -7.29008, 'lng': 112.798771}",Mitra Cell agen pulsa ALL OPERATOR
"{'lat': -7.289797799999999, 'lng': 112.7983904}",Majelis Tafsir Alquran
"{'lat': -7.289710700000001, 'lng': 112.7981627}",Indomaret Keputih
"{'lat': -7.289734599999999, 'lng': 112.7981497}",ATM Bank BCA 073T-Indomaret Keputih
"{'lat': -7.289730899999999, 'lng': 112.7981416}",ATM MANDIRI
"{'lat': -7.289749599999999, 'lng': 112.7981379}",ATM BCA
"{'lat': -7.2892902, 'lng': 112.7988091}",Rama Laundry
"{'lat': -7.289690800000001, 'lng': 112.7979858}",Ladyslipper Kebayaku
"{'lat': -7.289864, 'lng': 112.797664}",RC Cell
"{'lat': -7.289995999999999, 'lng': 112.79788}",PrintKu Digital Printing
"{'lat': -7.290019099999999, 'lng': 112.7978918}",Milan Spaghetti
"{'lat': -7.289836, 'lng': 112.7976065}",ATM BRI
"{'lat': -7.289817299999999, 'lng': 112.7975932}",Bank BRI Keputih Branch
"{'lat': -7.290043500000001, 'lng': 112.7974711}",Sir Police Barber & Eatery
"{'lat': -7.2892646, 'lng': 112.7973395}",Distributor Yogurt.id
"{'lat': -7.289690800000001, 'lng': 112.7979858}",Rahaja Minang
